message	phishing	url	dominio	tiene_https	longitud_url	presencia_subdominio	palabras_clave_sospechosas
La programación de tu análisis de seguridad semanal ha sido establecida. Recibirás un informe después de cada análisis.	0			0	0	0	0
Che, me pasas tu wifi? Necesito internet	0			0	0	0	0
Necesito tu dirección completa para la entrega. ¿Me la das?	1			0	0	0	0
Q onda con el clima? Ayer calor y hoy llueve como loco	0			0	0	0	0
Escuché esa entrevista que diste en la radio. ¡Muy buena! Me alegra mucho por vos.	0			0	0	0	0
Q opinas de la inflación? Yo no entiendo más nada	0			0	0	0	1
Te invito a mi perfil de Twiter: www.twiter.com/nombre-de-usuario (asegúrate de que la URL sea correcta antes de acceder).	1	http://www.twiter.com/nombre-de-usuario	www.twiter.com	0	39	0	0
¡Tu equipo ganó! Celebra con mercancía exclusiva. Compra ahora en www.equipo-ganador.com.ar.	1	http://www.equipo-ganador.com.ar.	www.equipo-ganador.com.ar.	0	33	0	1
Te contactamos desde TechGlobal para confirmar tu entrevista el lunes. No necesitamos más información, solo tu confirmación.	0			0	0	0	0
Para confirmar su suscripción, necesitamos su dirección de correo electrónico y contraseña.	1			0	0	0	0
Tu reseña sobre ese hotel me ayudó mucho. ¡Gracias!	0			0	0	0	0
¡Hola! Visita nuestro nuevo grupo en Twittr: www.twittr.com/nuevo-grupo (asegúrate de que la URL sea correcta antes de unirte).	1	http://www.twittr.com/nuevo-grupo	www.twittr.com	0	33	0	0
Voy a esa charla de emprendedores. Si querés, te anoto. Pasame tu mail.	0			0	0	0	0
La oferta en nuestra tienda en línea termina a medianoche.	0			0	0	0	0
Che, me prestas tu bici el finde? La mía se rompió	0			0	0	0	0
Tu inscripción en el gimnasio ha sido renovada. ¡A seguir entrenando juntos!	0			0	0	0	0
Has sido elegido para la vacuna COVID-19. Envíanos el número de trámite del DNI para confirmar tu turno.	1			0	0	0	0
Boludo, me robaron el celular. No te lo puedo creer	0			0	0	0	0
Q onda con tu vecino? Siempre pone la música a todo volumen	0			0	0	0	0
Felicidades, ha sido seleccionado. Envíe su dirección de correo electrónico y contraseña para reclamar su premio.	1			0	0	0	0
Tu factura está pendiente. Ingresa tus datos de pago aquí para evitar cargos adicionales.	1			0	0	0	1
¡Ganaste una cámara de fotos profesional! Reclamala en www.camara-ganador.com.ar y sacá fotos increíbles.	1	http://www.camara-ganador.com.ar	www.camara-ganador.com.ar	0	32	0	1
Me llegó un mensaje con un código de verificación de tu cuenta de Twitter. ¿Podés pasármelo para que pueda corregirlo?	1			0	0	0	1
Oye, ¿me das tu número de tarjeta de débito? Es para una compra rápida.	1			0	0	0	1
Tu perfil en GitHub es impresionante. Me gustaría colaborar en tu proyecto de IA.	0			0	0	0	0
Si vas al super, pasame la tarjeta de descuentos que te dejé en casa. Está en la cocina.	0			0	0	0	1
¡Alerta! Hemos detectado actividad sospechosa en tu cuenta. Verifica aquí.	1			0	0	0	1
El concierto de esta noche ha sido cancelado. Consulta el sitio web para más detalles.	0			0	0	0	0
Che, necesito un favor, me cubris en el trabajo?	0			0	0	0	0
La eliminación de tu información de pago ha sido realizada. Si deseas realizar una compra, deberás ingresar la información nuevamente.	0			0	0	0	0
¡Únete ahora! Nuestro programa exclusivo te ayudará a ganar dinero rápidamente. Haz clic aquí.	1			0	0	0	1
Tu tarjeta de crédito ha sido bloqueada. Ingresa tus datos aquí para desbloquearla.	1			0	0	0	1
Tu espacio en el estacionamiento ha sido reservado. Detalles en www.estacionamiento-reservado.com.ar.	1	http://www.estacionamiento-reservado.com.ar.	www.estacionamiento-reservado.com.ar.	0	44	0	0
Tus fotos del fin de semana fueron geniales. ¡Gracias por compartirlas!	0			0	0	0	0
Che, tu cuenta d correo va a ser cerrada. Necesito q confirmes tus datos en www.email-confirmation.com.ar	1	http://www.email-confirmation.com.ar	www.email-confirmation.com.ar	0	36	0	1
Oye, ¿me das tu número de tarjeta de crédito? Quiero comprarte algo online.	1			0	0	0	1
¿Quieres ganar dinero fácilmente desde casa? Únete a nuestra red de negocios y multiplica tus ingresos. Regístrate aquí http://negocio-piramidal.com	1	http://negocio-piramidal.com	negocio-piramidal.com	0	28	0	1
El artículo que quieres leer está en la sección de tecnología.	0			0	0	0	0
Tengo boletos para el juego. ¿Quieres venir?	0			0	0	0	0
¡Únete ahora! Nuestro programa exclusivo te ayudará a ganar dinero rápidamente. Haz clic aquí.	1			0	0	0	1
¿Me pasás una foto de tu tarjeta SUBE? Quiero ver si es igual a la mía.	1			0	0	0	1
Ese tutorial de maquillaje que me mandaste fue re útil. Me salvó para la fiesta. ¡Gracias!	0			0	0	0	0
Che, ¿podés enviarme tu número de CUIL? Es para un trámite del laburo.	1			0	0	0	0
¡Tu receta de cocina fue seleccionada! Ingresa a www.receta-seleccionada.com.ar para verla publicada.	1	http://www.receta-seleccionada.com.ar	www.receta-seleccionada.com.ar	0	37	0	0
Voy a la muestra de arte en el MALBA que hablamos. ¿Te prendés?	0			0	0	0	0
Che, sabes si Laura está de novia con alguien?	0			0	0	0	0
Tu turno para la vacunación está listo. Envíanos el número de trámite de tu DNI para asegurar tu lugar.	1			0	0	0	1
La práctica de tenis de esta noche ha sido cancelada debido al clima.	0			0	0	0	0
El artículo que buscas está en la página 10 de la revista. Lo leí y pensé en ti. ¡Es muy interesante!	0			0	0	0	0
Necesitamos tu número de trámite del DNI para confirmar tu turno para la vacunación contra el COVID-19.	1			0	0	0	0
La validación de tu software con la licencia proporcionada ha sido exitosa. Gracias por comprar una copia legítima.	0			0	0	0	0
Oye, estamos en Twtter ahora. Síguenos en: www.twtter.com/nuestro-perfil123 (verifica la URL antes de seguir).	1	http://www.twtter.com/nuestro-perfil123	www.twtter.com	0	39	0	0
Me uniré a la reunión el miércoles. ¡Hasta entonces!	0			0	0	0	0
La programación de tu actualización de hardware en la tienda ha sido confirmada. Por favor, lleva tu dispositivo a nuestra ubicación.	0			0	0	0	0
¡Promo en suplementos deportivos! Comprá en www.suplementos-descuento.com.ar y alcanzá tus objetivos.	1	http://www.suplementos-descuento.com.ar	www.suplementos-descuento.com.ar	0	39	0	0
Encontré una oferta de trabajo en FinanGroup que podría interesarte. Te enviaré el enlace.	0			0	0	0	0
La actualización de seguridad de tu cuenta ha sido exitosa. Considera activar la autenticación de dos factores para mayor protección.	0			0	0	0	1
Me dijeron que el envío llega mañana. Te paso el número de seguimiento.	0			0	0	0	0
La solicitud de cambio de dirección de envío ha sido procesada. Tu paquete llegará a la nueva dirección.	0			0	0	0	0
Estoy pensando en un viaje este verano. ¿Te gustaría unirte?	0			0	0	0	0
Obtén acceso exclusivo a nuestra oferta especial. Solo ingresa tus datos aquí.	1			0	0	0	1
¡Tu equipo ganó! ¿Viste el juego?	0			0	0	0	0
Vamos a ver a River el domingo? Tengo entradas	0			0	0	0	0
Creo que mi planta está muriendo. ¿Sabes cómo cuidarla?	0			0	0	0	0
Voy a la tienda. Necesito comprar algunas cosas para la casa.	0			0	0	0	0
¿Querés invertir en criptomonedas? Zoey es tu mejor opción. Te prometen recuperar tu inversión con grandes ganancias en el futuro. ¡Aprovechá ahora y no te quedes afuera!	1			0	0	0	1
Para confirmar tu turno para la vacuna, por favor envíanos el número de trámite del DNI. ¡No pierdas tiempo!	1			0	0	0	0
Has sido seleccionado para recibir un regalo gratuito. Haz clic aquí para reclamarlo.	1			0	0	0	0
Boludo, me picó un mosquito en el ojo. No veo nada	0			0	0	0	0
Has sido preseleccionado para una entrevista de trabajo. Completa este formulario con tu información para confirmar.	1			0	0	0	0
La verificación de tu tarjeta de regalo ha sido exitosa. El saldo ha sido añadido a tu cuenta.	0			0	0	0	1
Aquí tienes la información sobre la conferencia. No se requiere verificación adicional.	0			0	0	0	0
Ganate una cena en la parrilla del Tano. Solo tenés que entrar en URL y seguir los pasos.	1			0	0	0	0
¡Ganaste un iPhone! Solo tenés que entrar en www.gana-iPhone.com.ar y seguir los pasos. ¡Apurate, es por tiempo limitado!	1	http://www.gana-iPhone.com.ar	www.gana-iPhone.com.ar	0	29	0	1
