message	phishing
¡Genial! Tienes un bono de un viaje todo pagado esperando por ti. Contáctame para obtenerlo	1
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Regístrate ahora para saber cómo	1
Conozco a alguien que te podría ayudar con ese trámite. Habla con Miguel en @otrousuarioInstagram	1
Hola, parece que tienes una factura pendiente con Whatsapp. Ingresa tus datos para ver los detalles	1
Has sido seleccionado para una oferta especial. Ingresa tus datos aquí para aprovecharla.	1
La reunión con el proveedor ha sido programada para el lunes.	0
Has sido elegido para una prueba gratuita de nuestro servicio. Haz clic aquí para comenzar.	1
¡Enhorabuena! Has sido seleccionado para nuestro sorteo exclusivo en Fibertel. Confirma tus detalles para reclamar tu premio	1
¡Felicidades! Ganaste un premio exclusivo. Visita este enlace para obtenerlo. Asegúrate de estar en el sitio oficial	1
¡Gracias por recomendarme Amazon! Ha sido de gran ayuda para mi trabajo	0
Actualiza tus detalles de pago ahora para evitar la suspensión del servicio. Haz clic aquí.	1
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en Netflix?	0
Para evitar cargos adicionales en Amazon, te recomendamos Contáctame en el enlace adjunto	1
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Ingresa tus datos para saber cómo	1
Facebook te trae esta oferta especial. Esperamos te guste	0
Vi una publicación sobre la membresía en X y pensé que podrías encontrarla interesante	0
¡Únete ahora! Nuestro programa exclusivo te ayudará a ganar dinero rápidamente. Haz clic aquí.	1
¿Has escuchado la nueva canción de Carlos? Está genial	0
He tenido una semana ocupada con el trabajo. Pero vi tu mensaje en Banco Nación y me alegró el día	0
Tu banco te trae esta oferta especial. Esperamos te guste	0
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en Netflix?	0
El envío de tu pedido te extrañamos en el grupo. ¡Gracias por elegirnos!	0
¡Enhorabuena! Has sido seleccionado para nuestro sorteo exclusivo en X. Visita este enlace para reclamar tu premio	1
Hace mucho que no nos vemos. ¿Te gustaría salir a tomar algo esta semana?	0
No sé si viste esto, pero hay un video tuyo circulando por Tu banco. Haz clic para verlo. ¿Eres tú en el video?	1
Hola, soy yo, María. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
Estoy pensando en probar Whatsapp. ¿Tienes alguna recomendación o consejo al respecto?	0
Gana un viaje todo pagado a nuestro destino exclusivo. Regístrate aquí.	1
Tu suscripción a Gmail está activa. No dudes en contactarnos	0
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en X?	0
Hola, la reunión se ha reprogramado. Avísame si tienes dudas	0
¡Gracias por recomendarme Whatsapp! Ha sido de gran ayuda para mi trabajo	0
Vi una oferta de Gmail que podría interesarte. ¿Te paso el enlace?	0
Descubrí esta nueva app en Netflix. Es asombrosa y creo que te encantará. Regístrate ahora para echarle un vistazo	1
Gracias por tu compra en Facebook. Todo está en orden	0
Recibimos una notificación de que Amazon necesita una actualización. Ingresa tus datos para asegurarte de que todo funcione correctamente	1
Hola, un amigo en común mencionó que podrías ayudarme. ¿Me podrías dar tu te he enviado el archivo?	1
